NG表現,カテゴリ,リスクレベル,代替表現1,代替表現2,代替表現3
シミが消える,シミ,高,メラニンの生成を抑え、シミ・そばかすを防ぐ,乾燥による小じわを目立たなくする,キメを整え明るい印象の肌へ導く
シワがなくなる,シワ,高,乾燥による小じわを目立たなくする,ハリを与える,なめらかな肌触りへ導く
アンチエイジング,老化,高,エイジングケア（年齢に応じたお手入れ）,ハリ・ツヤを与える,うるおいのある肌へ導く
老化防止,老化,高,年齢に応じたお手入れ,肌を整える,うるおいを与える
医学的に証明された,根拠,高,使用感には個人差があります,お客様の声として,研究に基づいて開発
臨床試験で実証,根拠,高,使用感には個人差があります,モニター調査結果,開発時の試験において
完全に,断定,中,個人差がありますが,使用感には個人差があります,お肌の状態によって
絶対に,断定,中,個人差がありますが,使用感には個人差があります,多くの方に
確実に,断定,中,個人差がありますが,使用感には個人差があります,期待できます
治る,医薬品的効果,高,肌を整える,健やかな肌へ導く,コンディションを整える
改善する,医薬品的効果,高,肌を整える,なめらかにする,キメを整える
回復する,医薬品的効果,高,肌を整える,うるおいを与える,ハリを与える
ニキビが治る,ニキビ,高,肌を清潔に保つ,皮脂や汚れを落とす,肌を整える
毛穴がなくなる,毛穴,高,毛穴の目立たない肌へ,キメを整える,なめらかな肌触りへ
痩せる,ダイエット,高,引き締まった印象へ,ボディラインを整える,スッキリとした印象
脂肪燃焼,ダイエット,高,マッサージ効果により,引き締まった印象へ,温感でケア
デトックス,医薬品的効果,高,すっきりとした使用感,リフレッシュ,爽快感
浸透する,浸透,中,角質層まで,お肌になじむ,しっとりとした使用感
